uf,numeroZE,numeroLocalVotacao,nome,endereco,quantidadeSecoes,latitude,longitude
DF,8,1937,ESCOLA CLASSE 18,EQNM 03/05,10,-15.8261488,-48.102748
DF,8,1945,CENTRO EDUCACIONAL 02,QNM 14,22,-15.8075072,-48.1088434
DF,8,1953,ESCOLA CLASSE 13,EQNM 24/26,6,-15.7982742,-48.1117395
DF,8,1961,ESCOLA CLASSE 15,EQNN 08/10,11,-15.8372684,-48.1000911
DF,8,1970,ESCOLA CLASSE 21,EQNN  04/06,13,-15.8274276,-48.1057761
DF,8,1988,CENTRO DE ENSINO 16,EQNM 22/24,14,-15.8032776,-48.1086532
DF,8,1996,ESCOLA CLASSE 22,EQNN 06/08,11,-15.8330446,-48.1039269
DF,8,2003,ESCOLA CLASSE 03,EQNM 18/20,16,-15.8122198,-48.1018161
DF,8,2011,CENTRO DE ENSINO FUNDAMENTAL 07,EQNM 05/07,19,-15.8305053,-48.0994863
DF,8,2020,CENTRO DE ENSINO FUNDAMENTAL 04,EQNM 21/23,13,-15.8283913,-48.0948331
DF,9,1015,ESCOLA CLASSE 1,QI 01/03 LT 'A/E',10,-15.813924,-47.9751153
DF,9,1023,ESCOLA CLASSE 2,QE 2 AE 'A',10,-15.8143764,-47.9839273
DF,9,1031,CENTRO DE ENSINO FUNDAMENTAL 1,QE 4 AE J,16,-15.812763,-47.9883101
DF,9,1040,CENTRO EDUCACIONAL 4,QE 09 AE 'D',14,-15.8206129,-47.9749282
DF,9,1058,CENTRO ENSINO MEDIO 01  DO GUARA - CEM (GG),QE 07 AE 'M',19,-15.8183607,-47.9807255
DF,9,1066,CENTRO DE ENSINO FUNDAMENTAL 4,QE 12 AE 'A',20,-15.8179894,-47.9880191
DF,9,1074,ESCOLA CLASSE 5,QE 20 AE 'K',9,-15.8233102,-47.9818525
DF,9,1082,CENTRO DE ENSINO FUNDAMENTAL 2,QE 7 AE 'Q',13,-15.8159367,-47.9780234
DF,9,1112,CENTRO DE ENSINO FUNDAMENTAL 8,EQ 13/15  AE 'B',17,-15.8276083,-47.9786176
DF,9,1120,CENTRO EDUCACIONAL 3,EQ 17/19 AE 'A',25,-15.8397188,-47.9755318
DF,9,1139,ESCOLA CLASSE 6,EQ 24/26 AE 'A',14,-15.8300111,-47.9844945
DF,9,1147,ESCOLA CLASSE 08 (ANTIGO CEF 07),EQ 28/30 AE 'A',21,-15.8396908,-47.9804652
DF,9,1155,CENTRO DE ENSINO FUNDAMENTAL 5,EQ 32/34 LT 'B' - AE,10,-15.8436986,-47.9733042
DF,9,1163,CENTRO EDUCACIONAL 1,EQ 34/36 AE 'B',15,-15.8431023,-47.9683631
DF,9,1171,ESCOLA CLASSE 7,QE 38 CONJ. 'D' AE 12,5,-15.8477235,-47.9700114
DF,9,1180,CENTRO DE ENSINO FUNDAMENTAL 10,QE 46 AE 05,6,-15.8508263,-47.9629971
DF,9,1198,ESCOLA CLASSE 3,QE 7 LT 'J' AREA ESPECIAL,10,-15.8196207,-47.9794354
DF,9,1210,CENTRO DE ENSINO ESPECIAL 1,QE 20 LT 'A' AREA ESPECIAL,6,-15.818693,-47.9861002
DF,9,1236,COLEGIO ROGACIONISTA,AREA ESPECIAL 08 MODULO B,20,-15.8463956,-47.9713148
DF,9,1244,COLEGIO ELITE (ANTIGO JK),QE 08 AREA ESPECIAL 1,17,-15.8124054,-47.9896604
DF,9,1260,ESCOLA CLASSE VILA ESTRUTURAL,PRACA CENTRAL,14,-15.7813956,-47.9973656
DF,9,1279,CENTRO ENSINO FUNDAMENTAL 01 - VILA ESTRUTURAL,SETOR CENTRAL  AE 03 - VILA ESTRUTURAL,20,-15.7831637,-47.997301
DF,9,1287,COLEGIO PROJEÇÃO,QE 20 AREA ESPECIAL 'E',14,-15.81958,-47.9835839
DF,9,1295,FACULDADE PROJEÇÃO- PERTO TERMINAL RODOVIARIO GUARA II,AREA ESPECIAL 10 LOTE C,25,-15.8396877,-47.9661802
DF,9,1309,ESCOLA CLASSE 02 - VILA ESTRUTURAL,QD 03 CJ 'A' AE 06 - VILA ESTRUTURAL,14,-15.7826283,-47.9985363
DF,9,1317,CILG -CENTRO INTERESCOLAR DE LINGUAS,QE 07 AE 'Q' (AO LADO DO CEF 02),9,-15.8160521,-47.9783941
DF,9,1325,CENTRO EDUCACIONAL INFANTIL 01 DA VILA ESTRUTURAL,QUADRA 03 AE 01 SETOR NORTE,9,-15.7789885,-47.9943233
DF,9,1333,CENTRO DE ENSINO FUNDAMENTAL 02 - VILA ESTRUTURAL,QD 02 AE CONJUNTO 01/02,18,-15.7861387,-47.989033
DF,9,1341,COLEGIO ROGACIONISTA - INFANTIL NUCLEO 01,EQ 34/34 LOTE D,8,-15.8424208,-47.9735435
DF,9,1368,ESCOLA  CLASSE 03  (ANTIGO PADRE DI FRANCIA),QE 42 AE 01,4,-15.8463845,-47.9669311
DF,9,1384,ESCOLA TÉCNICA DO GUARÁ - CEPAG / GUARÁ II,QE 19/17 - LOTE A - GUARÁ II,8,-15.8386784,-47.9768781
DF,9,1406,COLEGIO OBJETIVO DO GUARA,QE 38 AREA ESPECIAL 8 LOTE C,20,-15.8461776,-47.9709706
DF,10,1023,ESCOLA CLASSE 4,2 AV ENTREBLOCOS 440/540,8,-15.8676139,-47.9654324
DF,10,1031,COLEGIO LA SALLE,2 AVENIDA  AREA ESPECIAL 11 - NÚCLEO BANDEIRANTE,18,-15.8687502,-47.9673793
DF,10,1040,CENTRO DE EDUCACAO INFANTIL DO NÚCLEO BANDEIRANTE,2A AV. ENTREBLOCOS 960/1040,7,-15.8701491,-47.9708251
DF,10,1058,ESCOLA CLASSE 5,2 AV ENTREBLOCOS 1400/1500,6,-15.8731045,-47.9760786
DF,10,1066,CENTRO DE ENSINO FUNDAMENTAL 1,AV CONTORNO AE 07 -NÚCLEO BANDEIRANTE,13,-15.8765142,-47.9764803
DF,10,1074,CENTRO EDUCACIONAL AGROURBANO IPÊ,COMBINADO AGROURBANO I (CAUB I) IPE/RIACHO FUNDO,5,-15.9473325,-48.0148775
